nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000499	Bai Ling	\N	\N	actress,director,producer	tt0119994,tt0109506,tt1121931,tt0405336
nm0000502	Christopher Lloyd	1938	\N	actor,producer,soundtrack	tt0088763,tt0101272,tt0106220,tt0096438
nm0000505	Nia Long	1970	\N	actress,producer,director	tt0168501,tt0208003,tt2083355,tt0181984
nm0000506	Julia Louis-Dreyfus	1961	\N	actress,producer,writer	tt0098904,tt2390361,tt1759761,tt20969586
nm0000507	Rob Lowe	1964	\N	actor,producer,writer	tt0090060,tt1291580,tt0086066,tt0105793
nm0000516	Lee Majors	1939	\N	actor,music_department,producer	tt0071054,tt0081859,tt0096061,tt0081558
nm0000523	Julianna Margulies	1966	\N	actress,producer,executive	tt0108757,tt0288477,tt1174730,tt0417148
nm0000524	Mary Stuart Masterson	1966	\N	actress,producer,director	tt0106387,tt0094006,tt0101921,tt0109198
nm0000529	Debi Mazar	1964	\N	actress,make_up_department,producer	tt0112950,tt0290095,tt0140352,tt0106375
nm0000530	Andrew McCarthy	1962	\N	actor,director,producer	tt2372162,tt2741602,tt0091790,tt0098627
nm0000531	Frances McDormand	1957	\N	actress,producer,soundtrack	tt5027774,tt0116282,tt0181875,tt1748122
nm0000532	Malcolm McDowell	1943	\N	actor,producer,writer	tt0066921,tt0111280,tt0373883,tt0080025
nm0000533	Gates McFadden	1949	\N	actress,producer,choreographer	tt8806524,tt0092455,tt0091369,tt0112060
nm0000539	Dina Meyer	\N	\N	actress,producer,archive_footage	tt0120201,tt0113481,tt0387564,tt0116136
nm0000542	Penelope Ann Miller	1964	\N	actress,soundtrack,archive_footage	tt0106519,tt1655442,tt0099938,tt0099615
nm0000550	Kate Mulgrew	1955	\N	actress,producer,writer	tt0112178,tt2372162,tt0253754,tt0089901
nm0000554	Sam Neill	1947	\N	actor,producer,director	tt4698684,tt0107290,tt0104850,tt0163025
nm0000559	Leonard Nimoy	1931	2015	actor,producer,director	tt0092007,tt0102975,tt0088170,tt0796366
nm0000560	Nick Nolte	1941	\N	actor,producer,soundtrack	tt1291584,tt0118564,tt0102713,tt0120863
nm0000562	Jeremy Northam	1961	\N	actor,soundtrack,archive_footage	tt0280707,tt0284978,tt0116191,tt0162360
nm0000563	Chris O'Donnell	1970	\N	actor,producer,director	tt0118688,tt0105323,tt0108333,tt0190865
nm0000571	Mary-Louise Parker	1964	\N	actress,miscellaneous,soundtrack	tt1245526,tt0439100,tt0318997,tt1821694
nm0000579	Ron Perlman	1950	\N	actor,producer,executive	tt3973768,tt0411477,tt0167190,tt0092319
nm0000580	Luke Perry	1966	2019	actor,producer,director	tt0098749,tt0119116,tt0103893,tt7131622
nm0000585	Robert Picardo	1953	\N	actor,writer,director	tt0112178,tt0094433,tt0117731,tt0093260
nm0000588	Martha Plimpton	1970	\N	actress,writer,producer	tt0089218,tt0091557,tt0115639,tt0096018
nm0000594	Jason Priestley	1969	\N	actor,producer,director	tt0098749,tt1558182,tt2334593,tt5722298
nm0000596	Jonathan Pryce	1947	\N	actor,producer,soundtrack	tt8404614,tt0088846,tt0120347,tt3750872
nm0000613	Joely Richardson	1965	\N	actress,producer,soundtrack	tt0361217,tt0187393,tt0119081,tt0115433
nm0000615	John Ritter	1948	2003	actor,producer,writer	tt0117666,tt0075596,tt0100419,tt0307987
nm0000616	Eric Roberts	1956	\N	actor,producer,soundtrack	tt0089941,tt1791528,tt1320253,tt0111255
nm0000618	Isabella Rossellini	1952	\N	actress,director,writer	tt0090756,tt20215234,tt0104070,tt0106881
nm0000622	Theresa Russell	1957	\N	actress,miscellaneous,soundtrack	tt0413300,tt0120890,tt0080408,tt0098093
nm0000633	Tom Selleck	1945	\N	actor,producer,writer	tt1595859,tt0080240,tt0119360,tt0102744
nm0000638	William Shatner	1931	\N	actor,producer,writer	tt0098382,tt0084726,tt0088170,tt0092007
nm0000640	Martin Sheen	1940	\N	actor,producer,director	tt0407887,tt0069762,tt1441912,tt0078788
nm0000641	Gary Sinise	1955	\N	actor,producer,director	tt0109830,tt0105046,tt0112384,tt0117438
nm0000642	Marina Sirtis	1955	\N	actress,producer,soundtrack	tt0092455,tt0111280,tt0375679,tt0117731
nm0000643	Tom Skerritt	1933	\N	actor,director,producer	tt0078748,tt0118884,tt0092099,tt0066026
nm0000652	James Spader	1960	\N	actor,producer,soundtrack	tt2741602,tt0402711,tt0098724,tt2395427
nm0000653	Brent Spiner	1949	\N	actor,director,writer	tt0117731,tt1628841,tt0253754,tt0111280
nm0000657	David Strathairn	1949	\N	actor,producer,miscellaneous	tt0433383,tt0443272,tt0831387,tt0119488
nm0000665	D.B. Sweeney	\N	\N	actor,writer,director	tt0104040,tt0106912,tt0463963,tt10128846
nm0000670	Lea Thompson	1961	\N	actress,director,producer	tt0088763,tt5039578,tt1727381,tt1758772
nm0000671	Billy Bob Thornton	1955	\N	actor,writer,producer	tt0117666,tt0120324,tt0243133,tt0219965
nm0000674	Tamlyn Tomita	1966	\N	actress,writer,producer	tt0319262,tt0091326,tt0406759,tt0411951
nm0000675	Jeanne Tripplehorn	1963	\N	actress,soundtrack,archive_footage	tt0103772,tt0114898,tt0106918,tt0120148
nm0000677	Robin Tunney	1972	\N	actress,soundtrack,archive_footage	tt0115963,tt0190865,tt0112950,tt0146675
nm0000684	Nana Visitor	1957	\N	actress,soundtrack,archive_footage	tt0106145,tt0758746,tt2637276,tt0485301
nm0000686	Christopher Walken	1943	\N	actor,producer,miscellaneous	tt0264464,tt0077416,tt1931533,tt0114194
nm0000690	Lesley Ann Warren	1946	\N	actress,producer,soundtrack	tt0084865,tt0410975,tt0088930,tt0057950
nm0000691	John Waters	1946	\N	actor,writer,director	tt0126604,tt0069089,tt0387575,tt0095270
nm0000693	Peter Weller	1947	\N	actor,director,writer	tt0093870,tt0102511,tt0097737,tt0100502
nm0000696	Wil Wheaton	1972	\N	actor,writer,producer	tt0092005,tt0103112,tt0084649,tt0092455
nm0000704	Elijah Wood	1981	\N	actor,producer,miscellaneous	tt0120737,tt0167261,tt0167260,tt0338013
nm0000705	Robin Wright	1966	\N	actress,producer,director	tt0109830,tt0442933,tt0217869,tt0093779
nm0000708	Billy Zane	1966	\N	actor,producer,director	tt0120338,tt0117331,tt0096874,tt0097162
nm0000715	Caroline Aaron	1952	\N	actress,producer,production_department	tt1232829,tt0118954,tt0108160,tt0099487
nm0000718	Ian Abercrombie	1934	2012	actor,miscellaneous,archive_footage	tt0106308,tt0106220,tt0455499,tt1185834
nm0000719	F. Murray Abraham	1939	\N	actor,soundtrack,archive_footage	tt0086879,tt2278388,tt0113819,tt0120844
nm0000737	Jane Alexander	1939	\N	actress,producer,production_department	tt0079417,tt0124315,tt0074119,tt0086429
nm0000749	Mädchen Amick	1970	\N	actress,director,producer	tt0105428,tt0109665,tt0098936,tt0105665
nm0000787	Bess Armstrong	1953	\N	actress,archive_footage	tt0085750,tt0082405,tt0085678,tt0108872
