tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt32599917	tvEpisode	Friends	Friends	0	2025	\N	43	Crime,Drama
tt32603980	tvEpisode	Paper Mountain Girl: Part 2	Paper Mountain Girl: Part 2	0	2025	\N	46	Crime,Drama
tt32603988	tvEpisode	The Missing Link	The Missing Link	0	2025	\N	46	Crime,Drama
tt32604005	tvEpisode	The Locked Room	The Locked Room	0	2025	\N	46	Crime,Drama
tt32604014	tvEpisode	My Brother's Keeper	My Brother's Keeper	0	2025	\N	46	Crime,Drama
tt32604032	tvEpisode	Pandora's Box	Pandora's Box	0	2025	\N	46	Crime,Drama
tt3260594	tvEpisode	Inmates	Inmates	0	2014	\N	42	Drama,Horror,Thriller
tt3260610	tvEpisode	Us	Us	0	2014	\N	42	Drama,Horror,Thriller
tt3260612	tvEpisode	A	A	0	2014	\N	42	Drama,Horror,Thriller
tt32641415	tvEpisode	Prisoners	Prisoners	0	2025	\N	43	Comedy,Drama,Mystery
tt32641465	tvEpisode	One of Us	One of Us	0	2024	\N	43	Comedy,Crime,Drama
tt3265304	tvEpisode	Gina Zanetakos (No. 152)	Gina Zanetakos (No. 152)	0	2013	\N	42	Crime,Drama,Mystery
tt3266250	tvEpisode	To Bear Witness	To Bear Witness	0	2013	\N	41	Crime,Drama,Mystery
tt3267968	tvEpisode	In the Blood	In the Blood	0	2013	\N	41	Crime,Drama,Mystery
tt3268352	tvEpisode	Knight Vision	Knight Vision	0	2013	\N	22	Comedy,Drama,Romance
tt3268354	tvEpisode	No Questions Asked	No Questions Asked	0	2013	\N	22	Comedy,Drama,Romance
tt3268356	tvEpisode	The Lighthouse	The Lighthouse	0	2013	\N	22	Comedy,Drama,Romance
tt3268598	tvEpisode	The Next Day	The Next Day	0	2013	\N	44	Crime,Drama,Mystery
tt3273224	tvEpisode	Sorry Seems to Be the Hardest Word	Sorry Seems to Be the Hardest Word	0	2013	\N	43	Drama,Romance
tt3273230	tvEpisode	Speaking of Baggage	Speaking of Baggage	0	2013	\N	42	Comedy,Drama
tt3275748	tvEpisode	The Golden Hammer	The Golden Hammer	0	2014	\N	42	Crime,Drama,Mystery
tt3275750	tvEpisode	Green Thumb	Green Thumb	0	2013	\N	44	Crime,Drama,Mystery
tt3275752	tvEpisode	White Lines	White Lines	0	2014	\N	40	Crime,Drama,Mystery
