tconst	ordering	nconst	category	job	characters
tt0509001	6	nm0962558	actress	\N	["Rosie Herriot"]
tt0509001	7	nm0962293	actor	\N	["Jimmy Herriot"]
tt0509001	8	nm0877383	actress	\N	["Mrs. Pettinger"]
tt0509001	9	nm0038785	actor	\N	["Bowling"]
tt0509001	10	nm0560109	actor	\N	["Keith Lawrence"]
tt0509002	1	nm0863790	actor	\N	["James Herriot"]
tt0509002	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509002	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509002	4	nm0237958	actress	\N	["Helen"]
tt0509002	5	nm0383662	actress	\N	["Mrs. Hall"]
tt0509002	6	nm0104183	actor	\N	["Dinsdale's Brother"]
tt0509002	7	nm0126268	actress	\N	["Mrs. Hammond"]
tt0509002	8	nm0061063	actor	\N	["Mr. Beckwith"]
tt0509002	9	nm0934451	actress	\N	["Mrs. Allenby"]
tt0509002	10	nm0036413	actor	\N	["Mr. Kendall"]
tt0509003	1	nm0863790	actor	\N	["James Herriot"]
tt0509003	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509003	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509003	4	nm0237958	actress	\N	["Helen"]
tt0509003	5	nm0383662	actress	\N	["Mrs. Hall"]
tt0509003	6	nm0071764	actor	\N	["Herbie Hinchcliffe"]
tt0509003	7	nm0412212	actor	\N	["Mr. Blackburn"]
tt0509003	8	nm0939933	actress	\N	["Mrs. Beck"]
tt0509003	9	nm0949697	actress	\N	["Miss Westerman"]
tt0509003	10	nm0031536	actress	\N	["Mrs. Bravington"]
tt0509004	1	nm0863790	actor	\N	["James Herriot"]
tt0509004	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509004	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509004	4	nm0069019	actress	\N	["Helen Herriot"]
tt0509004	5	nm0382402	actress	\N	["Mrs Alton"]
tt0509004	6	nm0029792	actress	\N	["Molly Shadwell"]
tt0509004	7	nm0329641	actor	\N	["Bill Shadwell"]
tt0509004	8	nm0345297	actor	\N	["Peter Shadwell"]
tt0509004	9	nm0697799	actor	\N	["Grimsdale"]
tt0509004	10	nm0943823	actor	\N	["Bob Stockdale"]
tt0509005	1	nm0863790	actor	\N	["James Herriot"]
tt0509005	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509005	3	nm0069019	actress	\N	["Helen Herriot"]
tt0509005	4	nm0382402	actress	\N	["Mrs Alton"]
tt0509005	5	nm0111727	actor	\N	["Captain Crawford"]
tt0509005	6	nm0944037	actor	\N	["Dennis Pratt"]
tt0509005	7	nm1428424	actor	\N	["Jacob Pearson"]
tt0509005	8	nm1084427	actor	\N	["Arnie Braithwaite"]
tt0509005	9	nm0552899	actor	\N	["Mr Hartley"]
tt0509005	10	nm0632601	actor	\N	["Hugh Crawford"]
tt0509006	1	nm0863790	actor	\N	["James Herriot"]
tt0509006	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509006	3	nm0569475	actor	\N	["Calum Buchanan"]
tt0509006	4	nm0069019	actress	\N	["Helen Herriot"]
tt0509006	5	nm0343942	actor	\N	["Granville Bennett"]
tt0509006	6	nm0651623	actor	\N	["Bert Chapman"]
tt0509006	7	nm0676567	actress	\N	["Mrs Chapman"]
tt0509006	8	nm0285012	actor	\N	["Joe Bentley"]
tt0509006	9	nm3349431	actor	\N	["Percy Oakley"]
tt0509006	10	nm2346148	actor	\N	["Bill Warrington"]
tt0509007	1	nm0863790	actor	\N	["James Herriot"]
tt0509007	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509007	3	nm0569475	actor	\N	["Calum Buchanan"]
tt0509007	4	nm0069019	actress	\N	["Helen Herriot"]
tt0509007	5	nm0316447	actress	\N	["Deirdre"]
tt0509007	6	nm0878654	actress	\N	["Molly McFeely"]
tt0509007	7	nm1048269	actress	\N	["Mrs. Bartram"]
tt0509007	8	nm0593629	actor	\N	["Mr. Birtwhistle"]
tt0509007	9	nm0167173	actress	\N	["Mrs. Birtwhistle"]
tt0509007	10	nm0054828	actor	\N	["Len Birtwhistle"]
tt0509008	1	nm0863790	actor	\N	["James Herriot"]
tt0509008	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509008	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509008	4	nm0069019	actress	\N	["Helen Herriot"]
tt0509008	5	nm0569475	actor	\N	["Calum Buchanan"]
tt0509008	6	nm0779540	actress	\N	["Mrs Pumphrey"]
tt0509008	7	nm0114441	actor	\N	["Jack Scott"]
tt0509008	8	nm5308855	actor	\N	["Tony Scott"]
tt0509008	9	nm1534839	actress	\N	["Sheila Scott"]
tt0509008	10	nm0646148	actor	\N	["Gordon Unwin"]
tt0509009	1	nm0863790	actor	\N	["James Herriot"]
tt0509009	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509009	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509009	4	nm0237958	actress	\N	["Helen Alderson"]
tt0509009	5	nm0383662	actress	\N	["Mrs. Hall"]
tt0509009	6	nm0266838	actor	\N	["Joe Mulligan"]
tt0509009	7	nm0172014	actor	\N	["Mr. Alderson"]
tt0509009	8	nm0203773	actress	\N	["Mrs. Dalby"]
tt0509009	9	nm0789070	actor	\N	["Mr. Biggins"]
tt0509009	10	nm1535675	actor	\N	["Charlie"]
tt0509010	1	nm0863790	actor	\N	["James Herriot"]
tt0509010	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509010	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509010	4	nm0069019	actress	\N	["Helen Herriot"]
tt0509010	5	nm0569475	actor	\N	["Calum Buchanan"]
tt0509010	6	nm0779540	actress	\N	["Mrs. Pumphrey"]
tt0509010	7	nm0412212	actor	\N	["Tom Maxwell"]
tt0509010	8	nm9318841	actress	\N	["Tess Maxwell"]
tt0509010	9	nm0414360	actress	\N	["Verity Barraclough"]
tt0509010	10	nm0850040	actor	\N	["Geoffrey Barraclough"]
tt0509011	1	nm0863790	actor	\N	["James Herriot"]
tt0509011	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509011	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509011	4	nm0383662	actress	\N	["Mrs. Hall"]
tt0509011	5	nm0627311	actress	\N	["Joan Clifford"]
tt0509011	6	nm0083424	actor	\N	["Rob Benson"]
tt0509011	7	nm0321658	actor	\N	["Len Hamson"]
tt0509011	8	nm0203458	actor	\N	["Elijah Hamson"]
tt0509011	9	nm0548434	actor	\N	["Mr. Adamson"]
tt0509011	10	nm0309523	actor	\N	["Bert Bartle"]
tt0509012	1	nm0863790	actor	\N	["James Herriot"]
tt0509012	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509012	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509012	4	nm0237958	actress	\N	["Helen Herriot"]
tt0509012	5	nm0083424	actor	\N	["Farmer Benson"]
tt0509012	6	nm0383662	actress	\N	["Mrs Hall"]
tt0509012	7	nm0820109	actor	\N	["Roderick Perowne"]
tt0509012	8	nm0500381	actor	\N	["Peter Marston"]
tt0509012	9	nm0589992	actor	\N	["Farmer Ingledew"]
tt0509012	10	nm0713520	actress	\N	["Mrs Marston"]
tt0509013	1	nm0863790	actor	\N	["James Herriot"]
tt0509013	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509013	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509013	4	nm0069019	actress	\N	["Helen Herriot"]
tt0509013	5	nm0569475	actor	\N	["Calum Buchanan"]
tt0509013	6	nm0933668	actress	\N	["Mrs. Greenlaw"]
tt0509013	7	nm0933924	actor	\N	["Jimmy Herriot"]
tt0509013	8	nm0809669	actress	\N	["Rosie Herriot"]
tt0509013	9	nm0670230	actor	\N	["Dobbs"]
tt0509013	10	nm0724967	actor	\N	["Mr. Whithorn"]
tt0509014	1	nm0863790	actor	\N	["James Herriot"]
tt0509014	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509014	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509014	4	nm0237958	actress	\N	["Helen"]
tt0509014	5	nm0383662	actress	\N	["Mrs Hall"]
tt0509014	6	nm1020721	actor	\N	["P.C. Blenkiron"]
tt0509014	7	nm0949697	actress	\N	["Miss Westerman"]
tt0509014	8	nm0319417	actor	\N	["Mr Stokill"]
tt0509014	9	nm1019221	actor	\N	["Major Headingley"]
tt0509014	10	nm1535086	actress	\N	["Deirdre Headingley"]
tt0509015	1	nm0863790	actor	\N	["James Herriot"]
tt0509015	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509015	3	nm0069019	actress	\N	["Helen Herriot"]
tt0509015	4	nm0663161	actor	\N	["Colonel Jenkins"]
tt0509015	5	nm1084427	actor	\N	["Arnie Braithwaite"]
tt0509015	6	nm1528705	actress	\N	["Rachel Taylor"]
tt0509015	7	nm0098519	actor	\N	["Bob Taylor"]
tt0509015	8	nm1433727	actor	\N	["Colin Appleby"]
tt0509015	9	nm0113468	actor	\N	["Brian Appleby"]
tt0509015	10	nm0359601	actress	\N	["Alison Appleby"]
tt0509016	1	nm0863790	actor	\N	["James Herriot"]
tt0509016	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509016	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509016	4	nm0237958	actress	\N	["Helen"]
tt0509016	5	nm0383662	actress	\N	["Mrs. Hall"]
tt0509016	6	nm0609752	actor	\N	["Harold Carter"]
tt0509016	7	nm0921982	actor	\N	["Arnold Summergill"]
tt0509016	8	nm0765586	actress	\N	["Dr. Raczinski"]
tt0509016	9	nm0743629	actress	\N	["Emma Tanner"]
tt0509016	10	nm0676331	actor	\N	["Wilf Henderson"]
tt0509017	1	nm0863790	actor	\N	["James Herriot"]
tt0509017	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509017	3	nm0069019	actress	\N	["Helen Herriot"]
tt0509017	4	nm0331713	actor	\N	["Oliver Strong"]
tt0509017	5	nm0817112	actor	\N	["Roland Strong"]
tt0509017	6	nm0413289	actor	\N	["Mr Dowson"]
tt0509017	7	nm0382842	actor	\N	["Willie Bannister"]
tt0509017	8	nm0552899	actor	\N	["Mr Hartley"]
tt0509017	9	nm0789070	actor	\N	["Biggins"]
tt0509017	10	nm0697799	actor	\N	["Grimsdale"]
tt0509018	1	nm0863790	actor	\N	["James Herriot"]
tt0509018	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509018	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509018	4	nm0237958	actress	\N	["Helen"]
tt0509018	5	nm0383662	actress	\N	["Mrs. Hall"]
tt0509018	6	nm0738795	actor	\N	["Dowson"]
tt0509018	7	nm0185163	actor	\N	["Bob Rigby"]
tt0509018	8	nm0057179	actor	\N	["Kitson"]
tt0509018	9	nm0336624	actress	\N	["Mrs. Flaxton"]
tt0509018	10	nm0019804	actor	\N	["Mr. Flaxton"]
tt0509019	1	nm0863790	actor	\N	["James Herriot"]
tt0509019	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509019	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509019	4	nm0237958	actress	\N	["Helen"]
tt0509019	5	nm0383662	actress	\N	["Mrs. Hall"]
tt0509019	6	nm0824364	actor	\N	["Ralph Beamish"]
tt0509019	7	nm0387913	actor	\N	["Duggleby"]
tt0509019	8	nm0939933	actress	\N	["Mrs. Beck"]
tt0509019	9	nm1535033	actress	\N	["Mrs. Bailey"]
